31;CAPSULADO CARTILAN COLAGENO 30 CPS 400MG;1;55;18/10/2021;55;9;4
32;BANDEIJA 30 OVOS BRANCO;3;14.5;18/10/2021;14.5;9;4
33;COCA COLA 2L;10;10;18/10/2021;10;9;5
34;CAPSULADO COENZIMA 60CPS 200MG;1;69;18/10/2021;69;9;6
35;XAROPE DA VOVO ISABEL 320M;1;10;18/10/2021;10;9;6
36;SEMENTE DE ABOBORA 1Kg;0.1;7.8;18/10/2021;7.8;9;6
37;COCA COLA 2L;10;10;18/10/2021;10;9;7
38;BANDEIJA 30 OVOS BRANCO;3;14.5;18/10/2021;14.5;9;7
39;SEMENTE DE GIRASSOL 1Kg;0.1;3.5;18/10/2021;3.5;9;8
40;PACOTE BISCOITO DE POLVILHO 140G;1;6.5;18/10/2021;6.5;9;8
41;CRAMBERRIE 1Kg;4;32;18/10/2021;32;9;9
42;CAPSULADO DE AÂAFRÍO 120CPS 400MG;1;15;18/10/2021;15;9;9
43;BANDEIJA 30 OVOS VERMELHO;2;15.5;18/10/2021;15.5;9;10
44;COCA COLA 2L;10;10;18/10/2021;10;9;7
45;BANDEIJA 30 OVOS BRANCO;2;13.9;18/10/2021;13.9;9;11
46;AMIDO DE MILHO 1Kg;1;4;18/10/2021;4;9;11
47;FERMENTO QUIMICO 1un;1;2.9;18/10/2021;2.9;9;12
48;CAPSULADO CHDRELA COM VITAMINA B12 120CPS 100G ;1;46;18/10/2021;46;9;13
49;PANETONE CHOCOLATE BAUDUCO ;1;19.5;18/10/2021;19.5;9;13
50;BANDEIJA 30 OVOS VERMELHO;2;15.5;19/10/2021;15.5;9;13
51;BANDEIJA 30 OVOS BRANCO;2;13.9;19/10/2021;13.9;9;14
52;COCA COLA 2L;10;10;19/10/2021;10;9;15
53;AMIDO DE MILHO 1Kg;1;4;19/10/2021;4;9;16
54;COCA COLA 2L;10;10;19/10/2021;10;9;17
55;FERMENTO QUIMICO 1un;1;2.9;19/10/2021;2.9;9;18
56;CAPSULADO CHDRELA COM VITAMINA B12 120CPS 100G ;1;46;19/10/2021;46;9;18
57;PANETONE CHOCOLATE BAUDUCO ;1;19.5;19/10/2021;19.5;9;19
58;AÇUCAR MASCAVO CLARO 1Kg;1;7.9;20/10/2021;7.9;9;20
59;CPS Cálcio Clin com Vitamina D - 60 cápsulas 100g;1;29.9;20/10/2021;29.9;9;21
60;BOLACHA MANATEGADA UAI 1 kg;0.45;30;20/10/2021;30;9;22
61;BANDEIJA 30 OVOS BRANCO;1;15;20/10/2021;15;9;22
62;BANDEIJA 30 OVOS VERMELHO;1;13.9;20/10/2021;13.9;9;23
63;TEMPERO CHIMICHURRI 1Kg;0.35;30;20/10/2021;30;9;24
64;COCA COLA 2L;10;10;20/10/2021;10;9;24
65;COLORAU EM PÓ PURO 1Kg;0.25;15;20/10/2021;15;9;25
66;BANDEIJA 30 OVOS BRANCO;1;15;20/10/2021;15;9;26
67;BALA FINI GOMA 100g;1;3.5;20/10/2021;3.5;9;27
68;TEMPERO CHIMICHURRI 1Kg;0.1;35;20/10/2021;35;9;28
69;CARTILAN COLÁGENO TIPO 2 COM VITAMINA E - 30 CÁPSULAS - 400MG;2;55;20/10/2021;55;9;29
70;COCA COLA 2L;10;10;20/10/2021;10;9;30
71;BANDEIJA 30 OVOS BRANCO;2;13.9;20/10/2021;13.9;9;31
72;CANELA EM PO 1Kg;0.2;40;20/10/2021;40;9;32
73;NÓZ NOSCADA;1;6.5;20/10/2021;6.5;9;32
74;BANDEIJA 30 OVOS BRANCO;2;13.9;18/10/2021;13.9;9;34
75;COCA COLA 2L;10;10;20/10/2021;10;9;35
76;CPS OLEO DE ABÓBORA 60 CÁPSULAS 100g;1;35;20/10/2021;35;9;36
77;AGUA DE COCO PURO COCO 1L;4;10;20/10/2021;10;9;35
